product_id,category,total_revenue,run_percent,abc_class
12,Electronics,183027.78,9.21,A
6,Clothing,165014.9,17.52,A
16,Home,163396.64,25.74,A
4,Clothing,161391.36,33.87,A
7,Home,156515.45,41.75,A
17,Home,155258.61,49.56,A
18,Home,143155.25,56.77,A
3,Clothing,139905.26,63.81,A
15,Clothing,122411.9,69.97,A
20,Books,121428.76,76.08,A
8,Clothing,109576.9,81.6,B
19,Books,99444.3,86.6,B
5,Home,62758.89,89.76,B
2,Electronics,51271.38,92.34,B
1,Books,49485.66,94.83,B
11,Books,39341.28,96.81,C
10,Electronics,20333.95,97.84,C
9,Books,17979.75,98.74,C
14,Books,16919.7,99.59,C
13,Clothing,8059.3,100.0,C
